dataset,setting,model,accuracy,f1,auroc,aupr
APTOS,Linear Probe,VMamba Masked,0.18,0.13,0.52,0.21
APTOS,Linear Probe,VMamba Unmasked,0.30,0.21,0.58,0.25
APTOS,Linear Probe,RETFound Linear Probing,0.30,0.25,0.66,0.33
APTOS,Finetuned,VMamba Masked,0.23,0.15,0.49,0.20
APTOS,Finetuned,VMamba Unmasked,0.06,0.06,0.46,0.17
APTOS,Finetuned,RETFound Finetuned,0.29,0.21,0.55,0.24
IDRID,Linear Probe,VMamba Masked,0.31,0.31,0.62,0.36
IDRID,Linear Probe,VMamba Unmasked,0.43,0.34,0.65,0.40
IDRID,Linear Probe,RETFound Linear Probing,0.29,0.28,0.67,0.38
IDRID,Finetuned,VMamba Masked,0.44,0.33,0.62,0.38
IDRID,Finetuned,VMamba Unmasked,0.31,0.27,0.58,0.32
IDRID,Finetuned,RETFound Finetuned,0.47,0.41,0.67,0.35
